pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
147.615,-100.275,0.0,top,A,,SW_PUSH_6mm,SW_PUSH_6mm,tht,True
147.615,-109.165,0.0,top,B,,SW_PUSH_6mm,SW_PUSH_6mm,tht,True
138.165,-109.165,0.0,top,DOWN,,SW_PUSH_6mm,SW_PUSH_6mm,tht,True
146.05,-74.93,0.0,top,Display,,oled,oled,tht,True
138.43,-86.36,180.0,bottom,R1,,Resistor,Resistor,tht,True
153.67,-86.36,180.0,bottom,R2,,Resistor,Resistor,tht,True
138.165,-100.275,0.0,top,UP,,SW_PUSH_6mm,SW_PUSH_6mm,tht,True
156.845,-90.17,180.0,bottom,VIN,,Power 5V,Power 5V,smt,True
146.05,-104.775,90.0,bottom,YOUR BRAIN,,wemos-d1-mini-connectors-only,Wemos-D1-mini,tht,True
